epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-08-29 09:50:32,123.02s,0.00010000,1.4379,0.0000,1.1062,0.0000,0.5681
epoch_1_2022-08-29 09:52:50,120.54s,0.00010000,1.1599,0.0000,1.0019,0.0000,0.5976
epoch_2_2022-08-29 09:55:22,128.17s,0.00010000,1.0613,0.0000,0.9407,0.0000,0.6196
epoch_3_2022-08-29 09:59:17,211.61s,0.00010000,0.9934,0.0000,0.8912,0.0000,0.6439
epoch_4_2022-08-29 10:02:28,169.49s,0.00010000,0.9351,0.0000,0.9026,0.0000,0.6514
epoch_5_2022-08-29 10:05:32,161.90s,0.00010000,0.8949,0.0000,0.8582,0.0000,0.6687
epoch_6_2022-08-29 10:09:18,203.76s,0.00010000,0.8611,0.0000,0.8247,0.0000,0.6921
epoch_7_2022-08-29 10:13:09,209.34s,0.00010000,0.8331,0.0000,0.8016,0.0000,0.6926
epoch_8_2022-08-29 10:16:58,205.73s,0.00010000,0.8015,0.0000,0.8186,0.0000,0.6968
epoch_9_2022-08-29 10:20:40,205.81s,0.00001000,0.7825,0.0000,0.7993,0.0000,0.7052
epoch_10_2022-08-29 10:24:01,178.24s,0.00001000,0.7171,0.0000,0.7788,0.0000,0.7108
epoch_11_2022-08-29 10:27:51,208.28s,0.00001000,0.7138,0.0000,0.7780,0.0000,0.7127
epoch_12_2022-08-29 10:31:03,176.23s,0.00001000,0.7037,0.0000,0.7804,0.0000,0.7099
epoch_13_2022-08-29 10:33:18,118.33s,0.00001000,0.6960,0.0000,0.7815,0.0000,0.7141
epoch_14_2022-08-29 10:35:29,115.23s,0.00001000,0.6894,0.0000,0.7827,0.0000,0.7146
epoch_15_2022-08-29 10:37:41,115.38s,0.00001000,0.6887,0.0000,0.7776,0.0000,0.7136
epoch_16_2022-08-29 10:39:52,115.44s,0.00001000,0.6824,0.0000,0.7797,0.0000,0.7155
epoch_17_2022-08-29 10:42:04,115.33s,0.00001000,0.6729,0.0000,0.7790,0.0000,0.7117
epoch_18_2022-08-29 10:44:18,117.36s,0.00001000,0.6672,0.0000,0.7813,0.0000,0.7099
epoch_19_2022-08-29 10:46:33,118.69s,0.00000100,0.6640,0.0000,0.7840,0.0000,0.7160
epoch_20_2022-08-29 10:48:46,116.71s,0.00000100,0.6535,0.0000,0.7836,0.0000,0.7164
epoch_21_2022-08-29 10:50:58,115.33s,0.00000100,0.6554,0.0000,0.7828,0.0000,0.7136
epoch_22_2022-08-29 10:53:09,115.48s,0.00000100,0.6597,0.0000,0.7831,0.0000,0.7150
epoch_23_2022-08-29 10:55:21,115.39s,0.00000100,0.6514,0.0000,0.7824,0.0000,0.7127
epoch_24_2022-08-29 10:57:32,115.33s,0.00000100,0.6489,0.0000,0.7829,0.0000,0.7150
epoch_25_2022-08-29 10:59:43,115.25s,0.00000100,0.6477,0.0000,0.7829,0.0000,0.7117
epoch_26_2022-08-29 11:01:55,115.43s,0.00000100,0.6531,0.0000,0.7841,0.0000,0.7169
epoch_27_2022-08-29 11:04:06,115.28s,0.00000100,0.6497,0.0000,0.7836,0.0000,0.7131
epoch_28_2022-08-29 11:06:17,115.27s,0.00000100,0.6454,0.0000,0.7837,0.0000,0.7146
epoch_29_2022-08-29 11:08:29,115.64s,0.00000010,0.6474,0.0000,0.7837,0.0000,0.7131
