epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-08-24 20:32:49,161.22s,0.00001000,1.2809,0.0000,1.3298,0.0000,0.5142
epoch_1_2022-08-24 20:35:47,159.60s,0.00001000,1.0643,0.0000,1.1961,0.0000,0.5615
epoch_2_2022-08-24 20:38:45,158.06s,0.00001000,0.9631,0.0000,1.1938,0.0000,0.5964
epoch_3_2022-08-24 20:41:44,159.09s,0.00001000,0.9122,0.0000,1.0976,0.0000,0.6336
epoch_4_2022-08-24 20:44:43,158.93s,0.00001000,0.8807,0.0000,1.1408,0.0000,0.6405
epoch_5_2022-08-24 20:47:42,158.92s,0.00001000,0.8473,0.0000,1.0059,0.0000,0.6749
epoch_6_2022-08-24 20:50:39,159.07s,0.00001000,0.8279,0.0000,0.9290,0.0000,0.7057
epoch_7_2022-08-24 20:53:39,159.76s,0.00001000,0.7979,0.0000,0.9556,0.0000,0.7025
epoch_8_2022-08-24 20:56:40,160.28s,0.00001000,0.7750,0.0000,0.8459,0.0000,0.7204
epoch_9_2022-08-24 20:59:39,159.10s,0.00000100,0.7580,0.0000,0.9624,0.0000,0.6997
epoch_10_2022-08-24 21:02:36,159.05s,0.00000100,0.7263,0.0000,0.8964,0.0000,0.7213
epoch_11_2022-08-24 21:05:33,158.52s,0.00000100,0.7191,0.0000,0.9453,0.0000,0.7135
epoch_12_2022-08-24 21:08:33,159.60s,0.00000100,0.7142,0.0000,0.9188,0.0000,0.7153
epoch_13_2022-08-24 21:11:30,158.92s,0.00000100,0.7110,0.0000,0.9004,0.0000,0.7218
epoch_14_2022-08-24 21:14:28,158.94s,0.00000100,0.7042,0.0000,0.9017,0.0000,0.7199
epoch_15_2022-08-24 21:17:25,158.33s,0.00000100,0.7033,0.0000,0.8975,0.0000,0.7227
epoch_16_2022-08-24 21:20:23,159.25s,0.00000100,0.7034,0.0000,0.9299,0.0000,0.7176
epoch_17_2022-08-24 21:23:20,158.64s,0.00000100,0.7006,0.0000,0.9866,0.0000,0.7016
epoch_18_2022-08-24 21:26:17,158.84s,0.00000100,0.6961,0.0000,0.9110,0.0000,0.7185
epoch_19_2022-08-24 21:29:14,158.53s,0.00000010,0.6913,0.0000,0.8937,0.0000,0.7241
epoch_20_2022-08-24 21:32:12,158.57s,0.00000010,0.6922,0.0000,0.9344,0.0000,0.7126
