epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-08-24 18:45:43,138.96s,0.00001000,1.2768,0.0000,1.2860,0.0000,0.5170
epoch_1_2022-08-24 18:48:17,134.36s,0.00001000,1.0886,0.0000,1.1601,0.0000,0.5891
epoch_2_2022-08-24 18:50:45,129.26s,0.00001000,0.9881,0.0000,1.1389,0.0000,0.6272
epoch_3_2022-08-24 18:53:17,132.15s,0.00001000,0.9137,0.0000,1.0138,0.0000,0.6460
epoch_4_2022-08-24 18:55:51,134.41s,0.00001000,0.8697,0.0000,0.9024,0.0000,0.6777
epoch_5_2022-08-24 18:58:24,133.84s,0.00001000,0.8420,0.0000,0.8768,0.0000,0.6938
epoch_6_2022-08-24 19:00:55,130.89s,0.00001000,0.8032,0.0000,0.8222,0.0000,0.7117
epoch_7_2022-08-24 19:03:25,130.80s,0.00001000,0.7857,0.0000,0.8250,0.0000,0.7213
epoch_8_2022-08-24 19:05:53,129.40s,0.00001000,0.7568,0.0000,0.8273,0.0000,0.7071
epoch_9_2022-08-24 19:08:23,130.58s,0.00000100,0.7402,0.0000,0.7819,0.0000,0.7273
epoch_10_2022-08-24 19:10:54,132.07s,0.00000100,0.7097,0.0000,0.7712,0.0000,0.7337
epoch_11_2022-08-24 19:13:26,131.24s,0.00000100,0.7016,0.0000,0.7773,0.0000,0.7332
epoch_12_2022-08-24 19:15:53,128.88s,0.00000100,0.6976,0.0000,0.7793,0.0000,0.7342
epoch_13_2022-08-24 19:18:17,126.12s,0.00000100,0.6927,0.0000,0.7706,0.0000,0.7374
epoch_14_2022-08-24 19:20:41,125.80s,0.00000100,0.6861,0.0000,0.7816,0.0000,0.7378
epoch_15_2022-08-24 19:23:06,126.35s,0.00000100,0.6832,0.0000,0.7829,0.0000,0.7351
epoch_16_2022-08-24 19:25:29,124.67s,0.00000100,0.6783,0.0000,0.7804,0.0000,0.7406
epoch_17_2022-08-24 19:27:54,126.79s,0.00000100,0.6790,0.0000,0.7753,0.0000,0.7360
