epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_avg_f1,val_avg_f1
epoch_0_2022-08-24 10:32:33,125.29s,0.00010000,1.3547,0.0000,1.3234,0.0000,0.4526
epoch_1_2022-08-24 10:35:01,128.90s,0.00010000,1.3161,0.0000,1.2613,0.0000,0.4793
epoch_2_2022-08-24 10:37:27,127.98s,0.00010000,1.2312,0.0000,1.1916,0.0000,0.5084
epoch_3_2022-08-24 10:39:51,125.83s,0.00010000,1.1793,0.0000,1.1697,0.0000,0.5270
epoch_4_2022-08-24 10:42:15,126.35s,0.00010000,1.1541,0.0000,1.1429,0.0000,0.5311
epoch_5_2022-08-24 10:44:38,124.87s,0.00010000,1.1353,0.0000,1.1286,0.0000,0.5461
epoch_6_2022-08-24 10:47:02,125.83s,0.00010000,1.1166,0.0000,1.1175,0.0000,0.5592
epoch_7_2022-08-24 10:49:24,124.01s,0.00010000,1.1084,0.0000,1.1138,0.0000,0.5561
epoch_8_2022-08-24 10:51:52,129.06s,0.00010000,1.0946,0.0000,1.1102,0.0000,0.5497
epoch_9_2022-08-24 10:54:17,126.35s,0.00001000,1.0909,0.0000,1.1044,0.0000,0.5547
epoch_10_2022-08-24 10:56:42,126.33s,0.00001000,1.0714,0.0000,1.0982,0.0000,0.5629
epoch_11_2022-08-24 10:59:05,125.86s,0.00001000,1.0678,0.0000,1.0960,0.0000,0.5688
epoch_12_2022-08-24 11:01:28,125.23s,0.00001000,1.0639,0.0000,1.0947,0.0000,0.5701
epoch_13_2022-08-24 11:03:52,125.47s,0.00001000,1.0628,0.0000,1.0935,0.0000,0.5647
epoch_14_2022-08-24 11:06:17,126.40s,0.00001000,1.0652,0.0000,1.0921,0.0000,0.5692
epoch_15_2022-08-24 11:08:43,128.31s,0.00001000,1.0608,0.0000,1.0931,0.0000,0.5697
