epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_avg_f1,val_avg_f1
epoch_0_2022-08-20 18:27:17,155.45s,0.00010000,1.0794,0.9878,0.9804,0.6322,0.6345
epoch_1_2022-08-20 18:32:29,153.87s,0.00010000,0.9962,0.9493,0.9388,0.6475,0.6492
epoch_2_2022-08-20 18:37:35,153.18s,0.00010000,0.9624,0.9012,0.9124,0.6729,0.6593
epoch_3_2022-08-20 18:42:42,153.99s,0.00010000,0.9368,0.8726,0.8717,0.6744,0.6726
epoch_4_2022-08-20 18:47:56,153.61s,0.00010000,0.9179,0.9325,0.9481,0.6632,0.6593
epoch_5_2022-08-20 18:53:05,154.11s,0.00010000,0.9033,0.8479,0.8475,0.6862,0.6791
epoch_6_2022-08-20 18:58:11,152.89s,0.00010000,0.8839,0.8250,0.8350,0.6985,0.6823
epoch_7_2022-08-20 19:03:24,154.02s,0.00010000,0.8742,0.8338,0.8567,0.6871,0.6763
epoch_8_2022-08-20 19:08:30,154.37s,0.00010000,0.8668,0.8256,0.8381,0.6883,0.6814
