epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-08-29 15:41:19,115.08s,0.00010000,1.4490,0.0000,1.1749,0.0000,0.5222
epoch_1_2022-08-29 15:43:22,113.92s,0.00010000,1.2018,0.0000,1.0402,0.0000,0.5793
epoch_2_2022-08-29 15:45:28,118.55s,0.00010000,1.0892,0.0000,0.9885,0.0000,0.6111
epoch_3_2022-08-29 15:47:36,119.35s,0.00010000,1.0278,0.0000,0.9270,0.0000,0.6270
epoch_4_2022-08-29 15:49:41,116.98s,0.00010000,0.9691,0.0000,0.8864,0.0000,0.6486
epoch_5_2022-08-29 15:51:44,114.89s,0.00010000,0.9193,0.0000,0.8632,0.0000,0.6738
epoch_6_2022-08-29 15:53:47,114.56s,0.00010000,0.8828,0.0000,0.8705,0.0000,0.6696
epoch_7_2022-08-29 15:55:50,114.42s,0.00010000,0.8392,0.0000,0.8024,0.0000,0.6874
epoch_8_2022-08-29 15:57:54,114.91s,0.00010000,0.8123,0.0000,0.7926,0.0000,0.7080
epoch_9_2022-08-29 15:59:57,114.46s,0.00001000,0.7828,0.0000,0.7912,0.0000,0.7099
epoch_10_2022-08-29 16:02:01,114.98s,0.00001000,0.7259,0.0000,0.7764,0.0000,0.7141
epoch_11_2022-08-29 16:04:05,115.13s,0.00001000,0.7197,0.0000,0.7661,0.0000,0.7239
epoch_12_2022-08-29 16:06:08,115.19s,0.00001000,0.7094,0.0000,0.7653,0.0000,0.7202
epoch_13_2022-08-29 16:08:12,115.04s,0.00001000,0.7089,0.0000,0.7657,0.0000,0.7253
epoch_14_2022-08-29 16:10:16,115.18s,0.00001000,0.6972,0.0000,0.7657,0.0000,0.7225
epoch_15_2022-08-29 16:12:20,115.50s,0.00001000,0.6957,0.0000,0.7706,0.0000,0.7230
epoch_16_2022-08-29 16:14:24,115.38s,0.00001000,0.6860,0.0000,0.7655,0.0000,0.7253
epoch_17_2022-08-29 16:16:28,115.30s,0.00001000,0.6876,0.0000,0.7694,0.0000,0.7230
epoch_18_2022-08-29 16:18:31,115.19s,0.00001000,0.6826,0.0000,0.7628,0.0000,0.7225
epoch_19_2022-08-29 16:20:35,115.07s,0.00000100,0.6783,0.0000,0.7689,0.0000,0.7272
epoch_20_2022-08-29 16:22:38,114.88s,0.00000100,0.6661,0.0000,0.7657,0.0000,0.7244
