epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-08-25 10:45:59,123.87s,0.00001000,2.0761,0.0000,1.3695,0.0000,0.3554
epoch_1_2022-08-25 10:48:17,122.26s,0.00001000,1.6402,0.0000,1.2317,0.0000,0.5156
epoch_2_2022-08-25 10:50:40,124.71s,0.00001000,1.4744,0.0000,1.1810,0.0000,0.5680
epoch_3_2022-08-25 10:53:04,126.52s,0.00001000,1.3813,0.0000,1.1597,0.0000,0.5758
epoch_4_2022-08-25 10:55:23,122.68s,0.00001000,1.3071,0.0000,1.1186,0.0000,0.5914
epoch_5_2022-08-25 10:57:36,116.09s,0.00001000,1.2546,0.0000,1.0703,0.0000,0.6093
epoch_6_2022-08-25 10:59:51,118.92s,0.00001000,1.1992,0.0000,1.0117,0.0000,0.6391
epoch_7_2022-08-25 11:02:05,117.75s,0.00001000,1.1427,0.0000,0.9741,0.0000,0.6501
epoch_8_2022-08-25 11:04:20,119.18s,0.00001000,1.1066,0.0000,0.9550,0.0000,0.6561
epoch_9_2022-08-25 11:06:35,118.33s,0.00000100,1.0761,0.0000,0.9263,0.0000,0.6680
epoch_10_2022-08-25 11:08:50,118.03s,0.00000100,1.0620,0.0000,0.9165,0.0000,0.6708
epoch_11_2022-08-25 11:11:06,119.86s,0.00000100,1.0620,0.0000,0.9149,0.0000,0.6708
epoch_12_2022-08-25 11:13:23,120.57s,0.00000100,1.0551,0.0000,0.9107,0.0000,0.6699
epoch_13_2022-08-25 11:15:39,119.84s,0.00000100,1.0507,0.0000,0.9095,0.0000,0.6722
epoch_14_2022-08-25 11:17:54,118.65s,0.00000100,1.0534,0.0000,0.9046,0.0000,0.6736
epoch_15_2022-08-25 11:20:09,117.42s,0.00000100,1.0460,0.0000,0.9033,0.0000,0.6731
epoch_16_2022-08-25 11:22:26,121.37s,0.00000100,1.0347,0.0000,0.9004,0.0000,0.6781
