epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-08-27 08:15:23,318.54s,0.00001000,1.3104,0.0000,1.1260,0.0000,0.5542
epoch_1_2022-08-27 08:21:01,327.94s,0.00001000,1.0400,0.0000,1.1494,0.0000,0.6042
epoch_2_2022-08-27 08:26:38,327.47s,0.00001000,0.9407,0.0000,1.0031,0.0000,0.6511
epoch_3_2022-08-27 08:32:15,326.95s,0.00001000,0.8813,0.0000,0.9861,0.0000,0.6598
epoch_4_2022-08-27 08:37:54,328.59s,0.00001000,0.8362,0.0000,0.9611,0.0000,0.6795
epoch_5_2022-08-27 08:43:34,329.86s,0.00001000,0.8017,0.0000,0.9343,0.0000,0.6974
epoch_6_2022-08-27 08:49:15,331.00s,0.00001000,0.7660,0.0000,0.9656,0.0000,0.6988
epoch_7_2022-08-27 08:54:53,328.33s,0.00001000,0.7462,0.0000,0.9191,0.0000,0.7163
epoch_8_2022-08-27 09:01:22,376.38s,0.00001000,0.7209,0.0000,0.9211,0.0000,0.7213
epoch_9_2022-08-27 09:07:00,328.35s,0.00000100,0.6964,0.0000,0.8533,0.0000,0.7273
epoch_10_2022-08-27 09:12:41,330.37s,0.00000100,0.6508,0.0000,0.8924,0.0000,0.7236
epoch_11_2022-08-27 09:18:20,329.20s,0.00000100,0.6414,0.0000,0.8869,0.0000,0.7287
epoch_12_2022-08-27 09:23:58,327.77s,0.00000100,0.6329,0.0000,0.9076,0.0000,0.7218
