epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_avg_f1,val_avg_f1
epoch_0_2022-08-20 18:05:10,113.08s,0.00010000,0.9907,0.8139,0.8614,0.7349,0.7309
epoch_1_2022-08-20 18:08:07,112.58s,0.00010000,0.7821,0.6761,0.7817,0.7524,0.7319
epoch_2_2022-08-20 18:11:13,113.47s,0.00010000,0.7090,0.5899,0.7778,0.7758,0.7268
epoch_3_2022-08-20 18:14:21,115.44s,0.00010000,0.6352,0.5242,0.8665,0.7937,0.7277
epoch_4_2022-08-20 18:17:29,114.89s,0.00010000,0.5509,0.3424,0.8567,0.8706,0.7365
epoch_5_2022-08-20 18:20:38,115.33s,0.00010000,0.4607,0.2590,0.9472,0.9025,0.7204
