epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-09-21 11:16:33,115.66s,0.00100000,1.4509,0.0000,1.3170,0.0000,0.4321
epoch_1_2022-09-21 11:18:43,114.25s,0.00100000,1.2913,0.0000,1.1716,0.0000,0.5492
epoch_2_2022-09-21 11:20:55,115.11s,0.00100000,1.1566,0.0000,1.0923,0.0000,0.5798
epoch_3_2022-09-21 11:23:07,116.09s,0.00100000,1.0872,0.0000,1.0634,0.0000,0.5904
epoch_4_2022-09-21 11:26:07,158.76s,0.00100000,1.0606,0.0000,1.0061,0.0000,0.6075
epoch_5_2022-09-21 11:30:06,217.53s,0.00100000,1.0378,0.0000,1.0158,0.0000,0.5842
epoch_6_2022-09-21 11:34:06,218.28s,0.00100000,1.0194,0.0000,0.9741,0.0000,0.6056
epoch_7_2022-09-21 11:38:03,215.73s,0.00100000,0.9978,0.0000,0.9064,0.0000,0.6504
epoch_8_2022-09-21 11:42:00,216.09s,0.00100000,0.9848,0.0000,0.9191,0.0000,0.6312
epoch_9_2022-09-21 11:45:56,213.97s,0.00100000,0.9766,0.0000,0.8788,0.0000,0.6545
epoch_10_2022-09-21 11:49:53,215.40s,0.00100000,0.9455,0.0000,0.8630,0.0000,0.6533
epoch_11_2022-09-21 11:53:50,214.71s,0.00100000,0.9323,0.0000,0.9113,0.0000,0.6237
epoch_12_2022-09-21 11:57:48,217.08s,0.00100000,0.9281,0.0000,0.7747,0.0000,0.6701
epoch_13_2022-09-21 12:01:45,215.00s,0.00100000,0.9092,0.0000,0.7783,0.0000,0.7060
epoch_14_2022-09-21 12:05:42,214.53s,0.00100000,0.8891,0.0000,0.7776,0.0000,0.6832
epoch_15_2022-09-21 12:09:40,216.50s,0.00010000,0.8773,0.0000,0.8317,0.0000,0.6572
epoch_16_2022-09-21 12:13:46,223.64s,0.00010000,0.7913,0.0000,0.7044,0.0000,0.7064
epoch_17_2022-09-21 12:17:44,216.50s,0.00010000,0.7508,0.0000,0.5916,0.0000,0.7473
epoch_18_2022-09-21 12:21:43,216.38s,0.00010000,0.7296,0.0000,0.6088,0.0000,0.7522
epoch_19_2022-09-21 12:25:45,220.48s,0.00010000,0.7085,0.0000,0.5738,0.0000,0.7654
epoch_20_2022-09-21 12:29:43,215.96s,0.00010000,0.6842,0.0000,0.5789,0.0000,0.7630
epoch_21_2022-09-21 12:33:45,220.70s,0.00010000,0.6672,0.0000,0.5871,0.0000,0.7443
epoch_22_2022-09-21 12:37:45,218.24s,0.00010000,0.6520,0.0000,0.5245,0.0000,0.7832
epoch_23_2022-09-21 12:41:49,222.41s,0.00010000,0.6357,0.0000,0.5265,0.0000,0.7855
epoch_24_2022-09-21 12:45:50,218.88s,0.00010000,0.6190,0.0000,0.4705,0.0000,0.8086
epoch_25_2022-09-21 12:49:52,220.11s,0.00010000,0.6039,0.0000,0.4658,0.0000,0.8067
epoch_26_2022-09-21 12:53:53,219.30s,0.00010000,0.5893,0.0000,0.4752,0.0000,0.7898
epoch_27_2022-09-21 12:57:56,221.64s,0.00010000,0.5794,0.0000,0.4624,0.0000,0.8024
epoch_28_2022-09-21 13:01:57,219.38s,0.00010000,0.5605,0.0000,0.3949,0.0000,0.8342
epoch_29_2022-09-21 13:06:00,220.43s,0.00010000,0.5420,0.0000,0.4129,0.0000,0.8277
epoch_30_2022-09-21 13:10:02,220.30s,0.00010000,0.5297,0.0000,0.4096,0.0000,0.8291
epoch_31_2022-09-21 13:14:03,219.69s,0.00001000,0.5088,0.0000,0.3614,0.0000,0.8486
epoch_32_2022-09-21 13:18:05,220.70s,0.00001000,0.4980,0.0000,0.3195,0.0000,0.8674
epoch_33_2022-09-21 13:22:05,218.34s,0.00001000,0.4973,0.0000,0.3349,0.0000,0.8606
epoch_34_2022-09-21 13:26:06,219.88s,0.00001000,0.4858,0.0000,0.3254,0.0000,0.8622
epoch_35_2022-09-21 13:30:12,224.11s,0.00001000,0.4811,0.0000,0.3362,0.0000,0.8585
epoch_36_2022-09-21 13:34:14,220.68s,0.00001000,0.4765,0.0000,0.3728,0.0000,0.8394
epoch_37_2022-09-21 13:38:14,218.72s,0.00001000,0.4634,0.0000,0.3725,0.0000,0.8394
epoch_38_2022-09-21 13:42:13,216.89s,0.00001000,0.4817,0.0000,0.3045,0.0000,0.8706
epoch_39_2022-09-21 13:46:16,221.24s,0.00001000,0.4602,0.0000,0.3235,0.0000,0.8595
epoch_40_2022-09-21 13:50:14,216.84s,0.00001000,0.4681,0.0000,0.3057,0.0000,0.8685
epoch_41_2022-09-21 13:54:16,220.22s,0.00001000,0.4705,0.0000,0.2997,0.0000,0.8720
epoch_42_2022-09-21 13:58:16,218.10s,0.00001000,0.4766,0.0000,0.3014,0.0000,0.8737
epoch_43_2022-09-21 14:02:17,219.32s,0.00001000,0.4654,0.0000,0.3119,0.0000,0.8699
epoch_44_2022-09-21 14:06:21,222.92s,0.00001000,0.4596,0.0000,0.3023,0.0000,0.8779
epoch_45_2022-09-21 14:10:23,220.23s,0.00001000,0.4627,0.0000,0.3270,0.0000,0.8634
epoch_46_2022-09-21 14:14:23,218.02s,0.00001000,0.4439,0.0000,0.3409,0.0000,0.8563
epoch_47_2022-09-21 14:18:21,216.24s,0.00000100,0.4632,0.0000,0.2723,0.0000,0.8881
epoch_48_2022-09-21 14:21:12,154.69s,0.00000100,0.4560,0.0000,0.2892,0.0000,0.8744
epoch_49_2022-09-21 14:23:57,143.70s,0.00000100,0.4551,0.0000,0.3219,0.0000,0.8697
epoch_50_2022-09-21 14:27:56,216.86s,0.00000100,0.4532,0.0000,0.2844,0.0000,0.8767
epoch_51_2022-09-21 14:31:55,216.75s,0.00000100,0.4450,0.0000,0.3025,0.0000,0.8710
epoch_52_2022-09-21 14:35:52,216.26s,0.00000100,0.4494,0.0000,0.3412,0.0000,0.8553
epoch_53_2022-09-21 14:39:51,217.34s,0.00000100,0.4491,0.0000,0.3012,0.0000,0.8729
epoch_54_2022-09-21 14:43:48,215.01s,0.00000100,0.4428,0.0000,0.3383,0.0000,0.8572
epoch_55_2022-09-21 14:47:41,212.38s,0.00000100,0.4580,0.0000,0.2749,0.0000,0.8852
epoch_56_2022-09-21 14:51:35,211.77s,0.00000100,0.4393,0.0000,0.3342,0.0000,0.8610
epoch_57_2022-09-21 14:55:29,212.89s,0.00000100,0.4549,0.0000,0.2862,0.0000,0.8793
epoch_58_2022-09-21 14:59:23,212.64s,0.00000100,0.4488,0.0000,0.3278,0.0000,0.8630
epoch_59_2022-09-21 15:03:17,211.65s,0.00000100,0.4533,0.0000,0.2790,0.0000,0.8828
epoch_60_2022-09-21 15:07:12,213.41s,0.00000100,0.4466,0.0000,0.2802,0.0000,0.8818
epoch_61_2022-09-21 15:11:07,213.45s,0.00000100,0.4457,0.0000,0.3197,0.0000,0.8695
epoch_62_2022-09-21 15:15:01,211.87s,0.00000100,0.4493,0.0000,0.2969,0.0000,0.8839
epoch_63_2022-09-21 15:18:56,213.58s,0.00000010,0.4591,0.0000,0.2881,0.0000,0.8825
