epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-09-23 09:30:04,124.89s,0.00050000,1.3525,0.0000,1.2697,0.0000,0.5000
epoch_1_2022-09-23 09:32:26,126.04s,0.00050000,1.1996,0.0000,1.1817,0.0000,0.5417
epoch_2_2022-09-23 09:34:51,126.79s,0.00050000,1.0739,0.0000,1.0352,0.0000,0.5974
epoch_3_2022-09-23 09:37:13,125.89s,0.00050000,0.9232,0.0000,1.0160,0.0000,0.6099
epoch_4_2022-09-23 09:39:35,125.30s,0.00050000,0.8178,0.0000,0.6837,0.0000,0.7532
epoch_5_2022-09-23 09:43:44,226.10s,0.00050000,0.6975,0.0000,0.5298,0.0000,0.8151
epoch_6_2022-09-23 09:47:57,229.59s,0.00050000,0.5884,0.0000,0.4140,0.0000,0.8738
epoch_7_2022-09-23 09:51:56,215.75s,0.00050000,0.5090,0.0000,0.3179,0.0000,0.8854
epoch_8_2022-09-23 09:54:18,125.83s,0.00050000,0.4321,0.0000,0.2840,0.0000,0.9000
epoch_9_2022-09-23 09:56:39,125.14s,0.00050000,0.4024,0.0000,0.2171,0.0000,0.9335
epoch_10_2022-09-23 09:59:00,124.34s,0.00050000,0.3658,0.0000,0.1920,0.0000,0.9468
epoch_11_2022-09-23 10:01:25,128.08s,0.00050000,0.3357,0.0000,0.2357,0.0000,0.9117
epoch_12_2022-09-23 10:03:50,127.75s,0.00050000,0.3343,0.0000,0.1215,0.0000,0.9672
epoch_13_2022-09-23 10:06:12,126.15s,0.00050000,0.3085,0.0000,0.1051,0.0000,0.9749
epoch_14_2022-09-23 10:08:35,126.10s,0.00050000,0.2910,0.0000,0.1018,0.0000,0.9703
epoch_15_2022-09-23 10:10:57,125.43s,0.00050000,0.2877,0.0000,0.1718,0.0000,0.9476
epoch_16_2022-09-23 10:13:20,125.74s,0.00050000,0.2753,0.0000,0.1164,0.0000,0.9602
epoch_17_2022-09-23 10:15:43,126.60s,0.00050000,0.2509,0.0000,0.0620,0.0000,0.9729
epoch_18_2022-09-23 10:18:06,125.79s,0.00050000,0.2716,0.0000,0.0702,0.0000,0.9742
epoch_19_2022-09-23 10:20:29,125.89s,0.00005000,0.2495,0.0000,0.0675,0.0000,0.9761
epoch_20_2022-09-23 10:22:51,125.91s,0.00005000,0.1914,0.0000,0.0333,0.0000,0.9869
epoch_21_2022-09-23 10:25:15,126.53s,0.00005000,0.1555,0.0000,0.0275,0.0000,0.9889
epoch_22_2022-09-23 10:29:34,236.94s,0.00005000,0.1317,0.0000,0.0233,0.0000,0.9860
epoch_23_2022-09-23 10:31:57,126.54s,0.00005000,0.1197,0.0000,0.0148,0.0000,0.9897
epoch_24_2022-09-23 10:34:19,125.71s,0.00005000,0.1107,0.0000,0.0093,0.0000,0.9944
epoch_25_2022-09-23 10:36:44,128.47s,0.00005000,0.1046,0.0000,0.0056,0.0000,0.9878
epoch_26_2022-09-23 10:39:23,141.83s,0.00005000,0.0993,0.0000,0.0096,0.0000,0.9878
epoch_27_2022-09-23 10:41:45,125.81s,0.00005000,0.0959,0.0000,0.0073,0.0000,0.9906
epoch_28_2022-09-23 10:44:07,125.21s,0.00005000,0.0898,0.0000,0.0033,0.0000,0.9865
epoch_29_2022-09-23 10:46:28,125.25s,0.00005000,0.0760,0.0000,0.0060,0.0000,0.9878
epoch_30_2022-09-23 10:48:50,125.16s,0.00005000,0.0742,0.0000,0.0056,0.0000,0.9878
epoch_31_2022-09-23 10:51:11,124.99s,0.00005000,0.0768,0.0000,0.0041,0.0000,0.9949
epoch_32_2022-09-23 10:53:33,123.97s,0.00005000,0.0725,0.0000,0.0024,0.0000,0.9888
epoch_33_2022-09-23 10:55:55,125.46s,0.00005000,0.0743,0.0000,0.0018,0.0000,0.9883
epoch_34_2022-09-23 10:58:15,123.59s,0.00005000,0.0673,0.0000,0.0022,0.0000,0.9860
epoch_35_2022-09-23 11:01:03,143.66s,0.00005000,0.0699,0.0000,0.0019,0.0000,0.9908
epoch_36_2022-09-23 11:06:05,277.76s,0.00005000,0.0619,0.0000,0.0034,0.0000,0.9878
epoch_37_2022-09-23 11:11:04,276.88s,0.00005000,0.0596,0.0000,0.0041,0.0000,0.9878
epoch_38_2022-09-23 11:14:08,166.09s,0.00005000,0.0548,0.0000,0.0012,0.0000,0.9865
epoch_39_2022-09-23 11:18:08,217.69s,0.00000500,0.0560,0.0000,0.0019,0.0000,0.9908
epoch_40_2022-09-23 11:21:50,204.50s,0.00000500,0.0553,0.0000,0.0007,0.0000,0.9883
epoch_41_2022-09-23 11:24:21,128.17s,0.00000500,0.0536,0.0000,0.0006,0.0000,0.9865
