epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-09-20 16:38:21,126.43s,0.00100000,0.9660,0.0000,1.0374,0.0000,0.5871
epoch_1_2022-09-20 16:40:32,114.81s,0.00100000,0.7783,0.0000,0.7264,0.0000,0.7331
epoch_2_2022-09-20 16:42:57,129.37s,0.00100000,0.7350,0.0000,0.8320,0.0000,0.7078
epoch_3_2022-09-20 16:46:16,176.74s,0.00100000,0.7069,0.0000,0.7761,0.0000,0.7403
epoch_4_2022-09-20 16:49:57,205.52s,0.00100000,0.6985,0.0000,0.6849,0.0000,0.7583
epoch_5_2022-09-20 16:53:39,199.73s,0.00100000,0.6858,0.0000,0.6580,0.0000,0.7626
epoch_6_2022-09-20 16:57:29,208.10s,0.00100000,0.6603,0.0000,0.7196,0.0000,0.7485
epoch_7_2022-09-20 17:00:58,193.45s,0.00100000,0.6688,0.0000,0.6626,0.0000,0.7698
epoch_8_2022-09-20 17:03:08,113.41s,0.00100000,0.6446,0.0000,0.6033,0.0000,0.7748
epoch_9_2022-09-20 17:05:18,113.61s,0.00100000,0.6374,0.0000,0.5823,0.0000,0.7865
epoch_10_2022-09-20 17:07:27,113.43s,0.00100000,0.6178,0.0000,0.6850,0.0000,0.7531
epoch_11_2022-09-20 17:09:34,111.88s,0.00100000,0.6159,0.0000,0.7027,0.0000,0.7383
epoch_12_2022-09-20 17:11:42,112.36s,0.00100000,0.6113,0.0000,0.5803,0.0000,0.7941
epoch_13_2022-09-20 17:13:50,111.78s,0.00100000,0.6055,0.0000,0.5728,0.0000,0.7952
epoch_14_2022-09-20 17:15:56,110.82s,0.00100000,0.5842,0.0000,0.6156,0.0000,0.7723
epoch_15_2022-09-20 17:18:05,112.64s,0.00010000,0.5749,0.0000,0.6541,0.0000,0.7602
epoch_16_2022-09-20 17:20:12,111.49s,0.00010000,0.5122,0.0000,0.5481,0.0000,0.7906
epoch_17_2022-09-20 17:22:20,112.54s,0.00010000,0.5009,0.0000,0.4377,0.0000,0.8356
epoch_18_2022-09-20 17:24:29,112.79s,0.00010000,0.4839,0.0000,0.4425,0.0000,0.8292
epoch_19_2022-09-20 17:26:40,115.29s,0.00010000,0.4753,0.0000,0.4326,0.0000,0.8338
epoch_20_2022-09-20 17:28:54,116.35s,0.00010000,0.4642,0.0000,0.4355,0.0000,0.8344
epoch_21_2022-09-20 17:31:12,121.35s,0.00010000,0.4474,0.0000,0.5006,0.0000,0.8086
epoch_22_2022-09-20 17:33:32,123.00s,0.00010000,0.4461,0.0000,0.4165,0.0000,0.8493
epoch_23_2022-09-20 17:35:51,121.76s,0.00010000,0.4370,0.0000,0.4130,0.0000,0.8461
epoch_24_2022-09-20 17:38:09,121.33s,0.00010000,0.4276,0.0000,0.3960,0.0000,0.8523
epoch_25_2022-09-20 17:40:29,123.51s,0.00010000,0.4169,0.0000,0.3550,0.0000,0.8629
epoch_26_2022-09-20 17:42:45,119.66s,0.00010000,0.4022,0.0000,0.3719,0.0000,0.8530
epoch_27_2022-09-20 17:45:05,122.83s,0.00010000,0.3897,0.0000,0.3609,0.0000,0.8686
epoch_28_2022-09-20 17:47:26,124.34s,0.00010000,0.3847,0.0000,0.3045,0.0000,0.8856
epoch_29_2022-09-20 17:49:44,121.50s,0.00010000,0.3648,0.0000,0.3399,0.0000,0.8652
epoch_30_2022-09-20 17:52:01,119.55s,0.00010000,0.3509,0.0000,0.3437,0.0000,0.8656
epoch_31_2022-09-20 17:54:21,122.53s,0.00001000,0.3410,0.0000,0.2896,0.0000,0.8955
epoch_32_2022-09-20 17:56:43,124.61s,0.00001000,0.3054,0.0000,0.2219,0.0000,0.9148
epoch_33_2022-09-20 17:59:03,123.33s,0.00001000,0.2981,0.0000,0.2285,0.0000,0.9116
epoch_34_2022-09-20 18:01:24,124.13s,0.00001000,0.2964,0.0000,0.2109,0.0000,0.9215
epoch_35_2022-09-20 18:03:45,123.62s,0.00001000,0.2862,0.0000,0.2577,0.0000,0.9103
epoch_36_2022-09-20 18:06:09,125.75s,0.00001000,0.2813,0.0000,0.2819,0.0000,0.8928
epoch_37_2022-09-20 18:08:32,125.69s,0.00001000,0.2785,0.0000,0.2816,0.0000,0.8933
epoch_38_2022-09-20 18:10:52,122.73s,0.00001000,0.2838,0.0000,0.1973,0.0000,0.9276
epoch_39_2022-09-20 18:13:15,125.29s,0.00001000,0.2740,0.0000,0.2419,0.0000,0.9186
epoch_40_2022-09-20 18:15:35,123.35s,0.00001000,0.2829,0.0000,0.1778,0.0000,0.9410
epoch_41_2022-09-20 18:17:56,123.41s,0.00001000,0.2741,0.0000,0.1826,0.0000,0.9304
epoch_42_2022-09-20 18:20:16,123.59s,0.00001000,0.2737,0.0000,0.1769,0.0000,0.9429
epoch_43_2022-09-20 18:22:36,122.80s,0.00001000,0.2667,0.0000,0.1918,0.0000,0.9317
epoch_44_2022-09-20 18:24:57,123.70s,0.00001000,0.2633,0.0000,0.1969,0.0000,0.9270
epoch_45_2022-09-20 18:27:19,124.06s,0.00001000,0.2627,0.0000,0.1906,0.0000,0.9352
epoch_46_2022-09-20 18:29:40,124.06s,0.00001000,0.2514,0.0000,0.2474,0.0000,0.9096
epoch_47_2022-09-20 18:32:00,123.17s,0.00000100,0.2559,0.0000,0.1654,0.0000,0.9433
epoch_48_2022-09-20 18:34:22,124.78s,0.00000100,0.2533,0.0000,0.1635,0.0000,0.9365
epoch_49_2022-09-20 18:36:42,122.84s,0.00000100,0.2450,0.0000,0.1895,0.0000,0.9383
